,STATEFIP,PUMA,PUMA_NAME
226,6,4701,Merced County (West & South)--Los Banos & Livingston Cities
227,6,4702,Merced County (Northeast)--Merced & Atwater Cities
228,6,5301,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities"
229,6,5302,Monterey County (Northeast)--Salinas City
230,6,5303,Monterey (South & East) & San Benito Counties
231,6,5500,Napa County--Napa City
232,6,5700,Nevada & Sierra Counties
233,6,5901,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities"
234,6,5902,Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities
235,6,5903,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities"
236,6,5904,Orange County (Central)--Irvine City (Central)
237,6,5905,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado"
238,6,5906,"Orange County (North)--Yorba Linda, La Habra & Brea Cities"
239,6,5907,Orange County (North Central)--Fullerton & Placentia Cities
240,6,5908,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities"
241,6,5909,Orange County (North Central)--Anaheim City (West)
242,6,5910,Orange County (North Central)--Anaheim City (East)
243,6,5911,Orange County (Central)--Orange & Villa Park Cities
244,6,5912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities"
245,6,5913,Orange County (Northwest)--Garden Grove City (East)
246,6,5914,Orange County (Northwest)--Huntington Beach City
247,6,5915,Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch
248,6,5916,Orange County (Central)--Santa Ana City (West)
249,6,5917,Orange County (Central)--Santa Ana City (East)
250,6,5918,Orange County (Central)--Costa Mesa & Fountain Valley Cities
251,6,6101,Placer County (Southwest)--Roseville City
252,6,6102,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town"
253,6,6103,Placer County (East/High Country Region)--Auburn & Colfax Cities
254,6,6501,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities"
255,6,6502,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities"
256,6,6503,Riverside County (Southwest)--Temecula City
257,6,6504,Riverside County (Southwest)--Murrieta & Wildomar Cities
258,6,6505,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities"
259,6,6506,Riverside County (Southwest)--Hemet City & East Hemet
